Trade_ID,Date,Ticker,Company_Name,Sector,Exchange,Currency,Open,High,Low,Close,Volume,Trade_Type,Trade_Price,Quantity,Trade_Value,MA_7,MA_30,RSI,Trader_ID,Broker,Commission,Net_Value
TRD-137182,2024-10-17,Msft,Microsoft Corporation,Technology,LSE,USD,2031.89,2146.23,2015.19,2111.03,14644301.0,Buy,2019.29,131.0,264526.99,2132.32,2065.76,48.03,TRD1054,JP Morgan,264.53,264262.46
TRD-138627,2024-12-11,MSFT,Microsoft Corporation,Technology,TSX,USD,1866.79,1896.37,1859.2,1884.96,20591025.0,1,1884.32,383.0,721694.56,1865.44,1971.78,53.32,TRD1047,JP Morgan,721.69,720972.87
TRD-128871,2023-12-15,TSLA,Tesla Inc.,Automotive,TSX,USD,475.98,481.22,461.76,467.73,2171746.0,Sell ,,29.0,13597.52,464.97,465.72,36.98,TRD1011,Goldman Sachs,13.6,13583.92
TRD-105882,08/12/2021,DIS,  Walt Disney Co.  ,Communication,NASDAQ,GBP,89.01,89.89,88.76,89.09,769071.0,Sell,89.42,317.0,28346.14,88.59,90.64,29.11,TRD1020,Vanguard,28.35,28317.79
TRD-120868,02/23/2023,TSLA,Tesla Inc.,,NASDAQ,GBP,424.93,426.56,423.55,425.19,10220740.0,Buy,425.34,334.0,142063.56,427.95,430.83,55.9,TRD1048,Schwab,142.06,141921.5
TRD-101448,"Feb 26, 2021",MSFT,Microsoft Corporation,Technology,NYSE,GBP,305.52,308.53,305.42,307.65,3688597.0,Sell,307.08,267.0,81990.36,310.14,311.73,60.56,TRD1010,Goldman Sachs,81.99,81908.37
TRD-106181,2021-08-24,META,Meta Platforms,Technology,NYSE,GBP,361.72,362.73,355.65,358.79,3147867.0,Sell,358.59,316.0,113314.44,,355.16,37.81,TRD1049,Vanguard,113.31,113201.13
TRD-133809,"Jun 13, 2024",NFLX,  Netflix Inc.  ,Communication,NYSE,,184.31,187.01,181.44,182.2,1685063.0,Buy,186.79,102.0,19052.58,183.12,184.94,47.95,TRD1002,Fidelity,19.05,19033.53
TRD-129520,2024/01/08,NVDA,NVIDIA Corporation,Technology,NYSE,CAD,954.29,965.41,940.85,947.91,823011.0,buy,964.41,232.0,223743.12,956.56,944.61,72.89,TRD1036,Morgan Stanley,223.74,223519.38
TRD-125239,2023-08-03,AAPL,Apple Inc.,Technology,NASDAQ,,120.53,123.28,120.11,120.5,3263476.0,Sell,121.69,61.0,7423.09,122.23,114.49,65.87,TRD1004,,7.42,7415.67
TRD-124705,2023-07-13,AAPL,  Apple Inc.  , Technology ,NYSE,USD,121.52,123.22,121.31,122.65,1169216.0,sell,,289.0,35330.25,119.54,120.49,73.35,TRD1054,JP Morgan,35.33,35294.92
TRD-128873,12/15/2023,JPM,JPMorgan Chase,Financial,TSX,USD,93.34,94.05,90.61,90.92,7126612.0,Buy,91.12,,43919.84,91.35,95.06,27.7,TRD1022,Vanguard,43.92,43875.92
TRD-114680,07-07-2022,Aapl,Apple Inc.,Technology,LSE,USD,142.24,145.39,139.32,144.7,,Sell,142.27,59.0,8393.93,144.57,142.74,70.49,TRD1075,Robinhood,8.39,8385.54
TRD-131516,21-03-2024,AMZN,Amazon.com Inc.,Consumer Cyclical,TSX,USD,166.19,170.28,165.54,169.92,9617634.0,1,166.72,301.0,50182.72,169.52,165.14,50.54,TRD1060,Vanguard,50.18,50132.54
TRD-113130,"May 09, 2022",TSLA,  Tesla Inc.  ,Automotive,NASDAQ,CAD,326.17,330.1,325.37,328.91,10330385.0,B,325.72,,37457.8,333.04,334.97,39.56,TRD1032,Fidelity,37.46,37420.34
TRD-111339,2022-03-02,MSFT,Microsoft Corporation,Technology,TSX,USD,456.33,459.15,454.45,459.02,1782466.0,S,456.97,444.0,202894.68,454.74,462.14,25.83,TRD1049,JP Morgan,202.89,202691.79
TRD-126468,2023-09-18,BAC,Bank of America,Financial,LSE,,91.5,91.95,91.04,91.8,8666364.0,sell,91.87,239.0,21956.93,93.73,93.17,58.57,TRD1001,Fidelity,21.96,21934.97
TRD-111020??,2022-02-18,GOOGL,Alphabet Inc.,Technology,NASDAQ,USD,98.52,100.73,96.69,,,Buy,99.62,62.0,6176.44,96.49,,62.68,TRD1034,Schwab,6.18,6170.26
TRD-102932,2021-04-23,tesla,Tesla Inc.,,TSX,USD,238.54,244.13,237.07,240.17,3513544.0,Buy,242.49,420.0,101845.8,243.08,237.3,29.4,TRD1075,Fidelity,101.85,101743.95
TRD-115727,2022-08-15,NVDA,NVIDIA Corporation,,NASDAQ,USD,520.04,543.89,516.25,542.03,14124839.0,Buy,517.59,142.0,73497.78,532.66,552.33,47.33,TRD1002,Goldman Sachs,73.5,73424.28
TRD-135101,"Aug 01, 2024",AAPL,Apple Inc.,Technology,NYSE,USD,120.44,123.4,119.93,122.86,5042900.0,Sell,123.23,411.0,50647.53,121.52,120.47,29.45,TRD1036,Schwab,50.65,50596.88
TRD-128911,2023-12-18,JPM,JPMorgan Chase,Financial,NYSE,,91.43,92.28,90.68,91.74,2445677.0,Sell,90.9,174.0,15816.6,92.57,91.82,53.88,TRD1010,Goldman Sachs,15.82,15800.78
TRD-113837,2022-06-03,XOM,Exxon Mobil,,NASDAQ,USD,159.54,161.15,151.27,152.97,10618536.0,Buy,158.24,277.0,43832.48,154.7,150.81,25.47,TRD1026,Vanguard,43.83,43788.65
TRD-129080,2023/12/22,JNJ,Johnson & Johnson,Healthcare,NYSE,,487.29,497.21,482.59,496.09,4281539.0,Buy,,76.0,37614.68,507.26,499.43,36.13,TRD1048,Morgan Stanley,37.61,37577.07
TRD-131991,2024-04-08,JPM,JPMorgan Chase,Financial,NYSE,GBP,65.75,66.34,65.39,66.3,,Buy,65.87,,20749.05,66.19,65.98,71.76,TRD1079,Goldman Sachs,20.75,20728.3
TRD-115475,04-08-2022,WMT,Walmart Inc.,,TSX,USD,146.03,146.56,141.93,142.65,3072934.0,Sell,143.19,334.0,47825.46,142.99,141.95,74.19,TRD1006,Robinhood,47.83,47777.63
TRD-121512,2023-03-17,PFE,Pfizer Inc.,Healthcare,LSE,USD,22.45,23.03,21.99,22.8,1033745.0,Sell,22.39,132.0,2955.48,22.68,23.73,,TRD1039,JP Morgan,2.96,2952.52
TRD-104667,2021-06-28,DIS,Walt Disney Co.,Communication,LSE,USD,85.97,87.2,82.49,83.63,7124754.0,Sell,84.47,315.0,26608.05,85.54,83.12,42.11,TRD1037,Morgan Stanley,26.61,26581.44
TRD-102884,04/22/2021,MSFT,Microsoft Corporation,Technology,NASDAQ,USD,260.47,262.8,254.9,256.02,888228.0,sell,262.43,369.0,96836.67,260.1,256.93,47.57,TRD1031,Fidelity,96.84,96739.83
TRD-125114,07/28/2023,XOM,Exxon Mobil,Energy,NASDAQ,GBP,85.99,86.01,84.09,84.63,,Buy,84.89,,84.89,83.42,82.57,64.46,TRD1038,Goldman Sachs,0.08,84.81
TRD-117556,2022-10-24,NVDA,NVIDIA Corporation,,LSE,,588.08,607.96,583.76,601.98,2106492.0,Buy,598.94,465.0,278507.1,605.76,615.36,42.82,TRD1022,JP Morgan,278.51,278228.59
TRD-106839,2021-09-17,AAPL,Apple Inc.,,LSE,GBP,125.51,125.94,124.18,124.85,6119687.0,Sell,124.58,357.0,44475.06,,,61.66,TRD1029,Robinhood,44.48,44430.58
TRD-126554,2023-09-21,Msft,  Microsoft Corporation  , Technology ,NYSE,USD,1022.77,1059.82,1017.21,,2328987.0,Buy,1046.21,353.0,369312.13,1057.28,1042.49,64.6,TRD1068,JP Morgan,369.31,368942.82
TRD-112732,2022-04-22,WMT,Walmart Inc.,Consumer Defensive,TSX,GBP,138.3,139.33,135.71,136.51,1890775.0,Buy,138.75,285.0,39543.75,138.64,136.09,,TRD1036,JP Morgan,39.54,39504.21
TRD-114442,2022-06-28,GOOGL,Alphabet Inc.,Technology,NASDAQ,USD,95.97,97.06,95.68,96.83,16926754.0,Sell,96.73,274.0,26504.02,95.91,96.22,65.89,TRD1006,Schwab,26.5,26477.52
TRD-131114,2024/03/06,DIS,Walt Disney Co.,,NYSE,GBP,109.21,112.2,108.05,111.42,1030709.0,Sell,108.88,100.0,"10888,0",112.16,114.62,,TRD1075,JP Morgan,10.89,10877.11
TRD-130241,05-02-2024,AAPL,Apple Inc.,,NYSE,GBP,100.55,101.38,100.5,101.04,714330.0,Sell,101.12,353.0,35695.36,99.74,98.67,37.95,TRD1076,Vanguard,35.7,35659.66
TRD-107861,2021-10-22,DIS,Walt Disney Co.,Communication,NYSE,CAD,82.98,83.32,82.26,82.37,336716.0,SELL,82.97,,38995.9,83.63,84.31,31.21,TRD1008,Vanguard,39.0,38956.9
TRD-105553,07/30/2021,DIS,Walt Disney Co.,Communication,TSX,USD,83.58,83.9,81.65,,464105.0,Buy,0.0,252.0,21036.96,83.18,84.47,64.49,TRD1016,Fidelity,21.04,21015.92
TRD-121867,"Mar 31, 2023",XOM,Exxon Mobil,Energy,NYSE,USD,106.8,107.26,105.94,107.08,2344454.0,Buy ,105.97,194.0,20558.18,106.57,104.54,73.39,TRD1060,Morgan Stanley,20.56,20537.62
TRD-113297,2022-05-13,META,Meta Platforms,Technology,LSE,,427.91,437.7,427.34,436.68,16616216.0,Buy,429.56,252.0,108249.12,433.12,430.77,39.09,TRD1069,Goldman Sachs,108.25,108140.87
TRD-104614,"Jun 25, 2021",WMT,Walmart Inc.,Consumer Defensive,NYSE,CAD,191.69,192.8,188.47,192.42,4047394.0,Buy,191.42,408.0,78099.36,193.52,188.24,55.79,TRD1049,Vanguard,78.1,78021.26
TRD-106802**,16 Sep 2021,GOOGL,Alphabet Inc.,Technology,LSE,USD,119.37,126.56,119.2,124.48,315298.0,Sell,125.03,301.0,37634.03,123.77,123.16,73.38,TRD1079,Goldman Sachs,37.63,37596.4
TRD-112995,2022-05-03,BAC,Bank of America,Financial,NASDAQ,USD,60.44,62.06,59.94,61.84,18958056.0,Buy,60.07,291.0,17480.37,62.02,60.87,31.44,TRD1010,JP Morgan,17.48,17462.89
TRD-120348,2023-02-03,AMZN,Amazon.com Inc.,Consumer Cyclical,NYSE,USD,148.96,149.05,146.79,,185467.0,Buy,148.17,207.0,30671.19,147.77,146.23,74.19,TRD1035,JP Morgan,30.67,30640.52
TRD-126598,22 Sep 2023,MSFT,Microsoft Corporation,Technology,LSE,USD,1040.47,1083.2,1023.25,1069.4,102280445.0,Sell,,257.0,275082.52,1063.54,1078.72,36.85,TRD1019,Goldman Sachs,275.08,274807.44
TRD-137309,22 Oct 2024,JPM,JPMorgan Chase,Financial,TSX,USD,58.45,59.26,58.08,,2462229.0,0,58.74,,27784.02,58.85,58.8,,TRD1049,Morgan Stanley,27.78,27756.24
TRD-107545,2021/10/12,PFE,Pfizer Inc.,Healthcare,NYSE,GBP,52.56,53.67,52.34,53.29,,Sell,52.53,58.0,3046.74,53.88,52.32,71.55,TRD1044,Schwab,3.05,3043.69
TRD-112923,2022/04/29,NVDA,NVIDIA Corporation,Technology,LSE,USD,467.39,473.33,460.78,,63829192.0,Sell ,462.04,310.0,143232.4,464.58,469.28,51.3,TRD1008,Goldman Sachs,143.23,143089.17
TRD-130969,2024-03-01,GOOGL,Alphabet Inc.,Technology,NYSE,USD,110.08,111.0,108.8,109.43,484705.0,Sell,108.98,366.0,39886.68,108.0,106.76,30.66,TRD1024,Morgan Stanley,39.89,39846.79
TRD-128383,2023-11-28,NFLX,Netflix Inc.,,NASDAQ,USD,153.22,154.39,152.25,153.67,32217751.0,Sell ,152.84,419.0,64039.96,,150.74,36.82,TRD1021,Robinhood,64.04,63975.92
TRD-100134,2021-01-07,PFE,Pfizer Inc.,Healthcare,LSE,USD,39.32,39.73,38.96,39.56,,Buy,,323.0,12813.41,40.15,40.32,32.97,TRD1061,JP Morgan,12.81,12800.6
TRD-115180,2022-07-26,JPM,JPMorgan Chase,Financial,LSE,GBP,83.93,88.87,83.67,88.17,2248117.0,Buy,85.45,178.0,15210.1,87.75,88.46,31.85,TRD1004,Goldman Sachs,15.21,15194.89
TRD-133655,2024-06-07,AMZN,Amazon.com Inc.,Consumer Cyclical,TSX,USD,169.21,169.94,166.18,,3850726.0,Buy,167.91,488.0,81940.08,165.64,165.99,37.9,TRD1031,Goldman Sachs,81.94,81858.14
TRD-135654,2024-08-21,AMZN,Amazon.com Inc.,Consumer Cyclical,TSX,USD,138.89,139.54,138.75,139.48,11946553.0,Sell,138.96,420.0,58363.2,139.64,142.08,25.89,TRD1013,Vanguard,58.36,58304.84
TRD-105225,2021-07-19,META,Meta Platforms,Technology,NYSE,CAD,401.1,418.6,400.93,407.99,4037633.0,Sell,,28.0,11558.96,411.61,408.35,34.06,TRD1042,Vanguard,11.56,11547.4
TRD-138064,2024/11/20,GOOGL,Alphabet Inc.,Technology,NYSE,USD,77.32,79.54,76.66,79.45,6175132.0,Sell,,,36916.8,79.12,80.77,54.38,TRD1007,Goldman Sachs,36.92,36879.88
TRD-131062,2024-03-05,JNJ,Johnson & Johnson,Healthcare,TSX,USD,487.76,493.69,461.31,463.56,,Sell,488.76,367.0,179374.92,471.38,,,TRD1042,Fidelity,179.37,179195.55
TRD-111779,03/18/2022,MSFT,Microsoft Corporation,Technology,NYSE,,529.5,533.08,521.36,522.24,17701245.0,Buy,530.77,302.0,160292.54,516.5,508.36,30.22,TRD1057,Schwab,160.29,160132.25
TRD-119460,03-01-2023,MSFT ,Microsoft Corporation,Technology,NASDAQ,CAD,755.78,768.26,752.73,767.0,1270066.0,Sell,756.15,,241211.85,775.34,747.61,65.55,TRD1041,Goldman Sachs,241.21,240970.64
TRD-135579,2024-08-19,JPM,JPMorgan Chase,Financial,LSE,GBP,61.62,62.97,61.48,62.88,3713662.0,Buy,61.64,142.0,8752.88,62.19,60.83,48.24,TRD1062,Goldman Sachs,8.75,8744.13
TRD-106847,2021-09-17,TSLA,Tesla Inc.,,NYSE,CAD,253.39,255.12,252.58,254.74,,BUY,,424.0,107975.84,255.71,254.75,,TRD1030,Fidelity,107.98,107867.86
TRD-133567,2024/06/04,DIS,Walt Disney Co.,Communication,TSX,CAD,113.96,116.86,113.28,116.8,4786912.0,Sell,114.27,180.0,20568.6,117.81,,,TRD1060,Goldman Sachs,20.57,20548.03
TRD-122177,04/12/2023,XOM,Exxon Mobil,Energy,LSE,USD,104.95,105.83,104.65,105.07,1911236.0,Sell ,,472.0,49432.56,104.81,103.09,74.12,TRD1008,Fidelity,49.43,49383.13
TRD-127991,11/14/2023,NVDA,NVIDIA Corporation,Technology,TSX,USD,1071.79,1099.23,1069.62,1095.41,11226567.0,Sell ,1095.2,202.0,221230.4,1077.52,,32.91,TRD1060,Goldman Sachs,221.23,221009.17
TRD-135628,2024-08-20,NFLX,Netflix Inc.,Communication,LSE,USD,154.68,156.86,154.08,156.65,3233293.0,Sell,155.02,469.0,72704.38,155.32,153.9,28.87,TRD1037,Schwab,72.7,72631.68
TRD-132126,2024-04-11,META,Meta Platforms,Technology,NYSE,CAD,518.14,523.31,509.18,521.68,493805.0,Buy,517.74,303.0,156875.22,520.05,524.57,54.18,TRD1009,Fidelity,156.88,156718.34
TRD-124549,2023-07-06,PFE,Pfizer Inc.,Healthcare,NYSE,GBP,23.8,24.14,22.52,22.55,,Sell,23.4,448.0,10483.2,23.19,21.97,65.16,TRD1051,Morgan Stanley,10.48,10472.72
TRD-116084??,29-08-2022,META,Meta Platforms,Technology,NYSE,GBP,441.66,444.12,431.04,?,3025681.0,Buy,,100.0,43297.0,432.41,442.46,71.6,TRD1049,Fidelity,43.3,43253.7
TRD-138816,2024-12-18,MSFT,Microsoft Corporation,Technology,NYSE,CAD,1832.37,1868.52,1830.39,1857.61,4273987.0,Sell,1850.53,378.0,699500.34,1906.78,1896.7,72.02,TRD1058,Schwab,699.5,698800.84
TRD-100261,01/13/2021,WMT,Walmart Inc.,Consumer Defensive,LSE,CAD,155.44,157.89,155.12,157.46,29704117.0,Buy,157.29,239.0,37592.31,158.94,156.55,72.18,TRD1061,Morgan Stanley,37.59,37554.72
TRD-105001,"Jul 09, 2021",NFLX,Netflix Inc.,Communication,NYSE,GBP,269.11,270.34,265.31,265.85,2486707.0,Buy,266.87,356.0,95005.72,264.57,271.97,58.47,TRD1049,Morgan Stanley,95.01,94910.71
TRD-130295,2024-02-06,JNJ,Johnson & Johnson,Healthcare,LSE,USD,469.45,470.99,461.95,462.24,10936285.0,Buy,468.59,52.0,24366.68,461.26,456.62,45.95,TRD1015,Vanguard,24.37,24342.31
TRD-137917,14-11-2024,MSFT,Microsoft Corporation,Technology,TSX,USD,2080.52,2084.44,2039.7,2056.03,1138340.0,Buy,2065.06,373.0,770267.38,2071.48,,43.74,TRD1077,Goldman Sachs,770.27,769497.11
TRD-102493,2021-04-08,AAPL,Apple Inc.,,LSE,USD,128.84,132.15,128.15,130.98,23181873.0,S,129.1,206.0,26594.6,,131.41,35.6,TRD1047,JP Morgan,26.59,26568.01
TRD-107330,2021-10-05,AMZN,Amazon.com Inc.,Consumer Cyclical,NASDAQ,CAD,138.95,139.28,137.14,138.45,5774657.0,Buy,138.98,440.0,61151.2,,136.93,69.94,TRD1005,Fidelity,61.15,61090.05
TRD-135545,2024/08/16,WMT,Walmart Inc.,Consumer Defensive,NASDAQ,USD,176.36,179.09,176.13,176.71,1973354.0,Buy,178.42,256.0,45675.52,178.33,173.51,27.82,TRD1028,Vanguard,45.68,45629.84
TRD-120573,13 Feb 2023,JPM,JPMorgan Chase,Financial,NASDAQ,USD,100.68,104.86,99.84,103.27,635390.0,Buy,104.08,198.0,"20607,84",104.68,99.75,68.05,TRD1060,Morgan Stanley,20.61,20587.23
TRD-135789,27 Aug 2024,GOOGL,Alphabet Inc.,,TSX,GBP,104.17,104.77,103.87,103.93,6481871.0,Sell,104.49,406.0,42422.94,,108.14,63.71,TRD1074,Robinhood,42.42,42380.52
TRD-120997,2023-02-28,NFLX,Netflix Inc.,Communication,NYSE,USD,228.49,232.0,223.54,224.68,403083.0,Buy,229.6,,94824.8,222.39,223.06,52.16,TRD1017,JP Morgan,94.82,94729.98
TRD-108241,2021-11-05,PFE,Pfizer Inc.,Healthcare,NASDAQ,,48.51,48.6,47.83,47.85,,Sell,48.04,128.0,6149.12,48.44,47.98,49.55,TRD1033,,6.15,6142.97
TRD-128872,2023/12/15,TSLA,Tesla Inc.,Automotive,TSX,USD,475.98,481.22,461.76,467.73,2171746.0,B,471.59,,175431.48,464.97,465.72,36.98,TRD1025,JP Morgan,175.43,175256.05
TRD-103341,2021-05-10,META,  Meta Platforms  ,,TSX,USD,372.2,386.35,371.56,381.51,6824177.0,Buy ,,18.0,6875.64,383.78,377.04,28.53,TRD1025,Vanguard,6.88,6868.76
