trade_id,date,ticker,company_name,sector,exchange,currency,open,high,low,close,volume,trade_type,trade_price,quantity,trade_value,ma_7,ma_30,rsi,trader_id,broker,commission,net_value,Month,Quarter,Year
TRD-100099,06-01-2021,PFE,Pfizer Inc.,Healthcare,NYSE,USD,38.74,40.06,38.63,39.6,158480,BUY,39.82,324,12901.68,39.6,38.85,53.4,TRD1067,Vanguard,12.9,12888.78,1,1,2021
TRD-100070,06-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,LSE,GBP,174.13,174.75,170.18,172.32,7230427,SELL,170.59,314,53565.26,64.18,179.05,69.54,TRD1044,Robinhood,53.57,53511.69,1,1,2021
TRD-125536,06-01-2021,GOOGL,Alphabet Inc.,Technology,TSX,USD,109.77,110.43,107.89,109.54,3107753,BUY,110,434,47740,110.59,106.27,65.02,TRD1029,JP Morgan,47.74,47692.26,1,1,2021
TRD-100086,06-01-2021,NFLX,Netflix Inc.,Communication,NASDAQ,USD,402.86,406.13,401.53,403.99,10753355,BUY,405.13,412,166913.56,401.54,396.68,70.65,TRD1032,Morgan Stanley,166.91,166746.65,1,1,2021
TRD-100098,06-01-2021,PFE,Pfizer Inc.,Financial,TSX,USD,38.74,40.06,38.63,39.6,158480,BUY,39.73,367,14580.91,39.6,38.85,42.38,TRD1033,Morgan Stanley,14.58,14566.33,1,1,2021
TRD-100096,06-01-2021,DIS,Walt Disney Co.,Communication,LSE,GBP,86.59,87.9,86.05,87.82,2255473,SELL,87.7,24,2104.8,106.47,108.88,60.62,TRD1009,Goldman Sachs,2.1,2102.7,1,1,2021
TRD-100075,06-01-2021,TSLA,Tesla Inc.,Automotive,NYSE,USD,202.25,203.07,200.93,202.97,6477307,SELL,202.93,225,45659.25,202.23,204.33,70.72,TRD1055,Goldman Sachs,45.66,45613.59,1,1,2021
TRD-100134,07-01-2021,PFE,Pfizer Inc.,Healthcare,LSE,USD,39.32,39.73,38.96,39.56,32217751,BUY,152.84,323,12813.41,40.15,40.32,32.97,TRD1061,JP Morgan,12.81,12800.6,1,1,2021
TRD-100122,07-01-2021,WMT,Walmart Inc.,Consumer Defensive,TSX,GBP,159.79,161.1,158.9,160.73,1556447,BUY,160.36,127,8178.36,159.97,161.97,50.25,TRD1075,Vanguard,8.18,8170.18,1,1,2021
TRD-100127,07-01-2021,META,Meta Platforms,Energy,NASDAQ,USD,328.77,331.44,324.14,326.7,6072476,SELL,325.56,27,8790.12,320.97,335.42,51.29,TRD1049,Robinhood,8.79,8781.33,1,1,2021
TRD-100121,07-01-2021,WMT,Walmart Inc.,Consumer Defensive,NASDAQ,CAD,159.79,161.1,158.9,160.73,4604277,SELL,159.02,246,39118.92,459.42,161.97,35.64,TRD1006,Schwab,39.12,39079.8,1,1,2021
TRD-100119,07-01-2021,XOM,Exxon Mobil,Energy,NASDAQ,USD,102.31,103.67,101.91,102.65,766630,BUY,102.44,269,27556.36,105.04,99.54,68.61,TRD1014,Morgan Stanley,27.56,27528.8,1,1,2021
TRD-100109,07-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,NYSE,CAD,173.26,175.65,171.16,171.53,2901003,SELL,175.03,474,82964.22,169.36,174.71,35.25,TRD1030,Fidelity,82.96,82881.26,1,1,2021
TRD-100128,07-01-2021,NVDA,NVIDIA Corporation,Technology,NYSE,USD,469.69,470.44,464.98,468.17,4863651,SELL,468.35,448,209820.8,475.3,448.7,63.42,TRD1065,Schwab,209.82,209610.98,1,1,2021
TRD-132797,07-01-2021,META,Meta Platforms,Technology,LSE,CAD,525.86,529.67,523.21,526.41,4555256,SELL,525.52,410,215463.2,528.34,448.7,69.17,TRD1027,Fidelity,215.46,215247.74,1,1,2021
TRD-117944,07-01-2021,BAC,Bank of America,Financial,NASDAQ,CAD,66.03,66.74,65.67,66.66,1080650,SELL,66.01,122,8053.22,66.04,65.15,69.17,TRD1008,Vanguard,8.05,8045.17,1,1,2021
TRD-100896,07-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,TSX,USD,178.63,179.79,175.36,176.17,1080650,SELL,178.86,105,18780.3,177.07,179.72,69.17,TRD1066,Goldman Sachs,18.78,18761.52,1,1,2021
TRD-100130,07-01-2021,BAC,Bank of America,Financial,TSX,USD,36.05,36.54,35.42,35.6,1198244,BUY,36.4,110,4004,35.82,35.66,32.52,TRD1000,Robinhood,4,4000,1,1,2021
TRD-100144,08-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,LSE,USD,172.24,173.42,171.51,172.67,11083612,SELL,172.45,459,79154.55,48.61,172.31,26.26,TRD1001,Vanguard,79.15,79075.4,1,1,2021
TRD-100137,08-01-2021,AAPL,Apple Inc.,Technology,NASDAQ,USD,142.03,142.96,141.26,142.56,5926971,BUY,141.36,71,10036.56,141.99,141.59,31.62,TRD1027,JP Morgan,10.04,10026.52,1,1,2021
TRD-132398,08-01-2021,DIS,Walt Disney Co.,Communication,LSE,CAD,114.35,115.33,111.78,112.4,1675043,BUY,115.12,239,27513.68,141.99,118.19,31.1,TRD1033,JP Morgan,27.51,27486.17,1,1,2021
TRD-136842,08-01-2021,DIS,Walt Disney Co.,Communication,NASDAQ,GBP,113.44,114.35,112.59,113.7,926646,BUY,113.65,377,42846.05,113.89,118.19,60.12,TRD1051,Vanguard,42.85,42803.2,1,1,2021
TRD-128675,08-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,NASDAQ,USD,147.81,150.08,147.46,147.95,641845,SELL,147.6,194,28634.4,147.5,146.64,47.7,TRD1004,Morgan Stanley,28.63,28605.77,1,1,2021
TRD-100200,11-01-2021,NVDA,NVIDIA Corporation,Communication,NYSE,USD,452.35,457.86,447.65,455.62,112414,BUY,452.46,400,180984,453.35,469.93,26.41,TRD1061,JP Morgan,180.98,180803.02,1,1,2021
TRD-134923,11-01-2021,XOM,Exxon Mobil,Energy,TSX,USD,161.11,161.83,159.32,159.95,2341004,SELL,161.68,173,27970.64,160.21,156.75,63.48,TRD1064,Morgan Stanley,27.97,27942.67,1,1,2021
TRD-100187,11-01-2021,JNJ,Johnson & Johnson,Healthcare,TSX,CAD,151.61,156.73,150.14,156.47,151646,SELL,155.47,107,16635.29,157.48,159.55,33.19,TRD1002,Fidelity,16.64,16618.65,1,1,2021
TRD-100186,11-01-2021,JNJ,Johnson & Johnson,Healthcare,TSX,USD,151.61,156.73,150.14,334.06,151646,BUY,150.45,322,48444.9,157.48,159.55,33.19,TRD1065,Morgan Stanley,48.44,48396.46,1,1,2021
TRD-100198,11-01-2021,NVDA,NVIDIA Corporation,Technology,NYSE,CAD,452.35,457.86,447.65,455.62,112414,SELL,449.86,269,121012.34,453.35,469.93,51.11,TRD1026,Fidelity,121.01,120891.33,1,1,2021
TRD-100430,11-01-2021,BAC,Bank of America,Technology,NYSE,CAD,38.85,38.89,37.77,37.95,1486083,SELL,449.86,286,10819.38,38.59,36.86,49.08,TRD1026,Morgan Stanley,10.82,10808.56,1,1,2021
TRD-100177,11-01-2021,MSFT,Microsoft Corporation,Technology,LSE,USD,311.08,321.05,308.16,317.78,130111732,BUY,315.78,462,145890.36,316.69,312.17,45.79,TRD1042,JP Morgan,145.89,145744.47,1,1,2021
TRD-100210,12-01-2021,AAPL,Apple Inc.,Technology,TSX,CAD,141.4,142.8,138.37,140.5,511554,SELL,139.4,289,40286.6,137.95,141.96,32.24,TRD1025,Robinhood,40.29,40246.31,1,1,2021
TRD-120586,12-01-2021,NVDA,NVIDIA Corporation,Technology,TSX,CAD,611.33,630.53,609.19,621.4,3218453,BUY,626.33,461,288738.13,627.18,614.24,62.6,TRD1015,Morgan Stanley,288.74,288449.39,1,1,2021
TRD-126822,12-01-2021,JPM,JPMorgan Chase,Financial,TSX,USD,74.52,76.27,73.12,75.88,1428049,SELL,626.33,373,27389.39,76.19,614.24,62.74,TRD1000,Fidelity,27.39,27362,1,1,2021
TRD-100216,12-01-2021,MSFT,Microsoft Corporation,Technology,NYSE,USD,316.82,321.12,308.7,310.11,4046645,SELL,320.61,329,105480.69,312.87,269.08,41.67,TRD1032,Fidelity,105.48,105375.21,1,1,2021
TRD-100222,12-01-2021,JPM,JPMorgan Chase,Automotive,NASDAQ,USD,144.11,144.86,142.9,143.05,6666487,BUY,143.33,454,65071.82,143.39,142.13,58.57,TRD1072,Vanguard,65.07,65006.75,1,1,2021
TRD-100266,13-01-2021,META,Meta Platforms,Technology,TSX,CAD,313.63,315.02,310.74,313.4,14206820,BUY,313,88,27544,313.55,314.09,59.37,TRD1069,Goldman Sachs,27.54,27516.46,1,1,2021
TRD-100251,13-01-2021,TSLA,Tesla Inc.,Automotive,NASDAQ,USD,213.77,216.89,206.56,209.92,9372205,SELL,197.65,26,5552.56,196.58,216.68,69.82,TRD1058,JP Morgan,5.55,5547.01,1,1,2021
TRD-125080,13-01-2021,WMT,Walmart Inc.,Consumer Defensive,NYSE,GBP,204.73,205.37,202.03,203.82,8792093,BUY,203.08,56,11372.48,203.73,206.25,40.67,TRD1008,Vanguard,11.37,11361.11,1,1,2021
TRD-100272,13-01-2021,BAC,Bank of America,Financial,TSX,USD,37.1,37.88,36.76,37.69,7078157,BUY,36.98,240,8875.2,37.83,37.29,67.69,TRD1048,Morgan Stanley,8.88,8866.32,1,1,2021
TRD-100252,13-01-2021,JPM,JPMorgan Chase,Financial,NASDAQ,USD,143.2,146.24,143.2,145.17,3256863,BUY,146.19,472,69001.68,146.11,145.17,41.35,TRD1076,Robinhood,69,68932.68,1,1,2021
TRD-125480,13-01-2021,META,Meta Platforms,Technology,TSX,GBP,637.73,644.21,612.12,613.06,2622466,SELL,622.39,130,80910.7,608.5,617.22,41.35,TRD1020,Robinhood,80.91,80829.79,1,1,2021
TRD-100268,13-01-2021,NVDA,NVIDIA Corporation,Technology,LSE,CAD,465.06,470.32,455.67,457.99,1619298,BUY,468.34,174,81491.16,85.57,617.22,60.87,TRD1066,Robinhood,81.49,81409.67,1,1,2021
TRD-100274,13-01-2021,BAC,Bank of America,Financial,TSX,USD,37.1,37.88,36.76,256.42,7078157,SELL,37.27,461,17181.47,37.83,37.29,67.69,TRD1078,Goldman Sachs,17.18,17164.29,1,1,2021
TRD-100263,13-01-2021,NFLX,Netflix Inc.,Communication,NYSE,GBP,388.3,389.44,384.12,386.11,9973263,BUY,387.31,75,29048.25,384.45,392.01,25.03,TRD1057,Vanguard,29.05,29019.2,1,1,2021
TRD-111191,13-01-2021,AMZN,Amazon.com Inc.,Communication,NASDAQ,USD,128.07,128.61,128.04,128.58,1467125,SELL,128.12,219,28058.28,129.25,127.64,49.33,TRD1069,Goldman Sachs,28.06,28030.22,1,1,2021
TRD-131944,13-01-2021,APL,Apple Inc.,Technology,NASDAQ,USD,115.42,119.7,114.36,117.46,583032,SELL,114.57,141,16154.37,119.73,114.53,42.19,TRD1002,Goldman Sachs,16.15,16138.22,1,1,2021
TRD-100243,13-01-2021,GOOGL,Alphabet Inc.,Technology,TSX,CAD,133.67,135.36,133.52,134.65,561638,BUY,187.07,217,29312.36,185.87,135.4,57.75,TRD1043,Schwab,29.31,29283.05,1,1,2021
TRD-100248,13-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,NYSE,CAD,170.05,170.07,165.76,167.09,1533887,SELL,169.86,252,42804.72,168.55,166.82,68.45,TRD1072,Fidelity,42.8,42761.92,1,1,2021
TRD-105893,13-01-2021,MSFT,Microsoft Corporation,Technology,LSE,GBP,291.29,298.31,290.21,297.31,19406352,BUY,290.22,446,129438.12,300.32,302.26,54.55,TRD1004,Schwab,129.44,129308.68,1,1,2021
TRD-128866,13-01-2021,GOOGL,Alphabet Inc.,Technology,TSX,CAD,115.44,119.2,114.01,118.85,39925047,SELL,117.96,254,29961.84,117.53,114.41,27.02,TRD1035,Fidelity,29.96,29931.88,1,1,2021
TRD-100277,13-01-2021,PFE,Pfizer Inc.,Healthcare,LSE,USD,39.99,41.26,39.47,40.68,7086679,BUY,40.78,293,11948.54,375.57,41.98,26.28,TRD1031,JP Morgan,11.95,11936.59,1,1,2021
TRD-107742,13-01-2021,XOM,Exxon Mobil,Energy,TSX,GBP,170.82,175.65,170.4,175.55,14161119,BUY,174.8,253,44224.4,175.29,173.87,37.11,TRD1072,Goldman Sachs,44.22,44180.18,1,1,2021
TRD-105715,13-01-2021,TSLA,Tesla Inc.,Automotive,LSE,USD,252.49,254.5,248.09,248.2,14161119,BUY,250.86,253,75508.86,247.09,253.85,30.21,TRD1029,Morgan Stanley,75.51,75433.35,1,1,2021
TRD-137371,13-01-2021,GOOGL,Alphabet Inc.,Technology,NYSE,USD,79.76,80.2,78.65,78.73,2783209,SELL,80.2,341,27348.2,78.18,80.08,31.88,TRD1014,Fidelity,27.35,27320.85,1,1,2021
TRD-100241,13-01-2021,AAPL,Apple Inc.,Technology,LSE,USD,139.36,140.66,137.23,137.9,2615849,BUY,139.5,238,33201,141.44,134.31,42.38,TRD1013,JP Morgan,33.2,33167.8,1,1,2021
TRD-100267,13-01-2021,META,Meta Platforms,Technology,NASDAQ,USD,313.63,315.02,310.74,313.4,14206820,SELL,312.01,109,34009.09,313.55,314.09,59.37,TRD1078,JP Morgan,34.01,33975.08,1,1,2021
TRD-100273,13-01-2021,BAC,Bank of America,Financial,NASDAQ,USD,37.1,37.88,36.76,37.69,7078157,SELL,127.36,53,1992.8,37.83,37.29,67.69,TRD1078,Robinhood,1.99,1990.81,1,1,2021
TRD-100250,13-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,NASDAQ,USD,170.05,170.07,165.76,167.09,1533887,SELL,166.58,464,77293.12,168.55,168.15,68.45,TRD1024,Morgan Stanley,77.29,77215.83,1,1,2021
TRD-136144,13-01-2021,WMT,Walmart Inc.,Consumer Defensive,NYSE,USD,198.74,199.82,197.45,197.45,38145541,BUY,198.81,495,98410.95,198.3,202.87,73.31,TRD1072,Goldman Sachs,98.41,98312.54,1,1,2021
TRD-100312,14-01-2021,NVDA,NVIDIA Corporation,Technology,LSE,CAD,456.32,462.01,455.76,456.25,4022784,SELL,457.05,299,136657.95,446.76,433.23,72.13,TRD1062,Schwab,136.66,136521.29,1,1,2021
TRD-100278,14-01-2021,AAPL,Apple Inc.,Technology,LSE,USD,137.54,138.96,137.26,137.34,2610486,SELL,137.74,491,67630.34,79.72,134.94,66.47,TRD1073,Robinhood,67.63,67562.71,1,1,2021
TRD-100279,14-01-2021,GOOGL,Alphabet Inc.,Technology,TSX,CAD,135.53,136.3,130.66,131.68,12666610,BUY,135.04,247,33354.88,130.15,155.47,61.36,TRD1013,Schwab,33.35,33321.53,1,1,2021
TRD-100311,14-01-2021,META,Meta Platforms,Technology,NYSE,USD,312.96,323.15,312.48,320.51,7720203,SELL,316.09,466,147297.94,327.08,453.48,51.98,TRD1067,Vanguard,147.3,147150.64,1,1,2021
TRD-103000,14-01-2021,JPM,JPMorgan Chase,Financial,NYSE,GBP,123.48,125.59,121.95,320.51,13667922,SELL,122.4,23,2815.2,122.98,453.48,35.37,TRD1017,Goldman Sachs,2.82,2812.38,1,1,2021
TRD-100316,14-01-2021,DIS,Walt Disney Co.,Communication,TSX,GBP,83.94,84.45,82.77,108.44,22556156,BUY,82.98,351,8629.92,82.78,80.67,30.08,TRD1030,Morgan Stanley,8.63,8621.29,1,1,2021
TRD-100314,14-01-2021,BAC,Bank of America,Financial,NASDAQ,GBP,37.68,38.66,37.22,38.52,3371187,SELL,38.47,198,7617.06,38.38,37.29,51.56,TRD1074,Schwab,7.62,7609.44,1,1,2021
TRD-120699,14-01-2021,NVDA,NVIDIA Corporation,Technology,NASDAQ,USD,625.74,626.67,605.86,608.71,3375057,BUY,620.86,488,302979.68,610.35,588.76,58.25,TRD1069,Vanguard,302.98,302676.7,1,1,2021
TRD-100343,15-01-2021,XOM,Exxon Mobil,Communication,TSX,USD,107.07,110.95,106.67,109.61,12218518,BUY,107.35,113,12130.55,83.83,113.11,67.73,TRD1024,Schwab,12.13,12118.42,1,1,2021
TRD-135491,15-01-2021,AAPL,Apple Inc.,Technology,TSX,USD,132.92,133.63,128.61,129.22,2244827,SELL,132.47,162,21460.14,129.89,129.1,46.26,TRD1049,Fidelity,21.46,21438.68,1,1,2021
TRD-123417,15-01-2021,XOM,Exxon Mobil,Energy,LSE,CAD,99.28,99.88,97.27,97.38,4005659,BUY,98.72,66,6515.52,99.1,129.1,53.67,TRD1058,Vanguard,6.52,6509,1,1,2021
TRD-100361,15-01-2021,PFE,Pfizer Inc.,Healthcare,LSE,USD,40.54,40.7,40.1,40.29,867391,SELL,40.2,91,3658.2,40.92,40.38,60.41,TRD1013,Schwab,3.66,3654.54,1,1,2021
TRD-100359,15-01-2021,BAC,Bank of America,Financial,TSX,CAD,38.6,39.01,38.5,38.89,9354435,BUY,38.89,385,14972.65,39.4,37.28,34.73,TRD1048,Morgan Stanley,14.97,14957.68,1,1,2021
TRD-100341,15-01-2021,XOM,Exxon Mobil,Energy,NYSE,USD,107.07,110.95,106.67,156.4,12218518,SELL,109.53,442,48412.26,112.27,113.11,67.73,TRD1032,Robinhood,48.41,48363.85,1,1,2021
TRD-100330,15-01-2021,MICROSOFT,Microsoft Corporation,Technology,NYSE,USD,305.09,305.44,296.11,296.37,13816838,SELL,303.68,311,94444.48,296.69,96.36,34.12,TRD1026,Schwab,94.44,94350.04,1,1,2021
TRD-104222,15-01-2021,BAC,Bank of America,Technology,NYSE,GBP,50.97,51.27,50.3,50.46,1722049,SELL,303.68,261,13318.83,49.74,51.23,29.54,TRD1017,Schwab,13.32,13305.51,1,1,2021
TRD-100354,15-01-2021,META,Meta Platforms,Technology,TSX,USD,319.83,329.4,316.1,325.86,8649413,BUY,138.87,201,64454.67,327.16,330.11,44.36,TRD1075,JP Morgan,64.45,64390.22,1,1,2021
TRD-103789,15-01-2021,TSLA,Tesla Inc.,Automotive,TSX,GBP,234.51,239.89,233.58,238.81,43648951,SELL,238.96,343,81963.28,239.13,230.83,42.33,TRD1022,Vanguard,81.96,81881.32,1,1,2021
TRD-100322,15-01-2021,APL,Apple Inc.,Technology,LSE,CAD,136.95,138.18,136.73,137.82,1496689,BUY,137.11,166,22760.26,137.74,138.23,62.11,TRD1069,JP Morgan,22.76,22737.5,1,1,2021
TRD-112681,15-01-2021,TSLA,Tesla Inc.,Technology,LSE,USD,349.2,350.56,339.97,343.95,6513942,BUY,137.11,125,42770,344.83,351.86,70.25,TRD1013,Morgan Stanley,42.77,42727.23,1,1,2021
TRD-122713,15-01-2021,TSLA,Tesla Inc.,Automotive,TSX,CAD,403.81,407.73,400.67,406.05,1626405,BUY,137.11,430,172567.6,406.49,394.51,36.31,TRD1041,JP Morgan,172.57,172395.03,1,1,2021
TRD-100323,15-01-2021,AAPL,Apple Inc.,Technology,NYSE,GBP,136.95,138.18,136.73,127.67,1496689,SELL,137.15,126,17280.9,137.74,138.23,25.14,TRD1068,Schwab,17.28,17263.62,1,1,2021
TRD-100387,18-01-2021,NVDA,NVIDIA Corporation,Financial,LSE,USD,440.42,449.87,435.62,445.38,2363812,SELL,436.47,48,20950.56,444.82,452.09,66.86,TRD1047,Fidelity,20.95,20929.61,1,1,2021
TRD-100369,18-01-2021,AMZN,Amazon.com Inc.,Consumer Cyclical,NYSE,USD,167.12,168.68,165.26,166.6,22175482,BUY,167.94,371,62305.74,164.78,169.19,36.7,TRD1032,Schwab,62.31,62243.43,1,1,2021
TRD-101441,18-01-2021,DIS,Walt Disney Co.,Communication,NASDAQ,USD,113.5,114.59,112.06,113.65,6769719,SELL,112.47,430,48362.1,164.78,169.19,64.33,TRD1028,Goldman Sachs,48.36,48313.74,1,1,2021
TRD-130748,18-01-2021,MSFT,Microsoft Corporation,Technology,NASDAQ,USD,1515.84,1535.39,1477,1486.93,2126923,BUY,1533.93,397,608970.21,1488.62,1478.44,37.49,TRD1068,Vanguard,608.97,608361.24,1,1,2021
TRD-100396,18-01-2021,PFE,Pfizer Inc.,Healthcare,TSX,CAD,40.17,40.61,39.99,40.46,12497725,SELL,289.49,146,5923.22,40.52,41.67,74.57,TRD1044,Goldman Sachs,5.92,5917.3,1,1,2021
TRD-100377,18-01-2021,JNJ,Johnson & Johnson,Healthcare,NASDAQ,USD,154.98,155.78,154.93,155.4,1076480,SELL,107.05,125,19376.25,154.19,162.05,32.42,TRD1034,Vanguard,19.38,19356.87,1,1,2021
TRD-110853,18-01-2021,NFLX,Netflix Inc.,Communication,NASDAQ,USD,199.57,200.99,196.01,198.42,16565361,SELL,197.47,484,95575.48,154.19,162.05,52.16,TRD1056,Morgan Stanley,95.58,95479.9,1,1,2021
TRD-135950,18-01-2021,MSFT,Microsoft Corporation,Technology,NASDAQ,USD,1893.61,1897.62,1892.37,1893.83,2055503,BUY,1894.6,307,581642.2,1904.84,1907.71,58.58,TRD1023,Morgan Stanley,581.64,581060.56,1,1,2021
TRD-114763,18-01-2021,TSLA,Tesla Inc.,Automotive,TSX,USD,313.59,314.57,312.68,313.16,472404,BUY,314.35,307,107193.35,313.58,308.72,37.83,TRD1013,JP Morgan,107.19,107086.16,1,1,2021
TRD-138760,18-01-2021,NFLX,Netflix Inc.,Communication,LSE,USD,135.67,136.05,134.54,135.93,2503333,BUY,135.42,137,18552.54,137.04,136.94,71.44,TRD1055,Fidelity,18.55,18533.99,1,1,2021
TRD-100397,18-01-2021,PFE,Pfizer Inc.,Healthcare,NYSE,USD,40.17,40.61,39.99,40.46,12497725,BUY,40.09,236,2164.86,199.89,41.67,74.57,TRD1044,Vanguard,2.16,2162.7,1,1,2021
TRD-100383,18-01-2021,NFLX,Netflix Inc.,Communication,LSE,USD,392.3,392.47,385.71,390.34,4294483,BUY,389.08,42,16341.36,387.24,391.02,68.5,TRD1066,Fidelity,16.34,16325.02,1,1,2021
TRD-124891,18-01-2021,NFLX,Netflix Inc.,Communication,TSX,GBP,205.17,208.1,205.11,205.29,4213011,SELL,206.58,6,1239.48,202.77,202.6,38.09,TRD1041,Vanguard,1.24,1238.24,1,1,2021
TRD-100373,18-01-2021,JPM,JPMorgan Chase,Financial,LSE,CAD,143.91,145.62,138.1,138.6,14594441,BUY,134.19,82,11487.38,139.56,134.27,54.03,TRD1076,Robinhood,11.49,11475.89,1,1,2021
TRD-100376,18-01-2021,JNJ,Johnson & Johnson,Healthcare,NYSE,GBP,154.98,155.78,154.93,155.4,1076480,SELL,155.04,49,155.04,154.19,162.05,34.53,TRD1038,Robinhood,0.16,154.88,1,1,2021
TRD-100388,18-01-2021,NVDA,NVIDIA Corporation,Technology,TSX,USD,440.42,449.87,435.62,445.38,11098957,SELL,440.61,200,88122,444.82,452.09,66.86,TRD1031,JP Morgan,88.12,88033.88,1,1,2021
TRD-100416,19-01-2021,WMT,Walmart Inc.,Consumer Defensive,NASDAQ,USD,155.43,158.85,153.76,157.86,662192,BUY,156.72,73,11440.56,156.81,159.45,26.85,TRD1032,Robinhood,11.44,11429.12,1,1,2021
TRD-100418,19-01-2021,WMT,Walmart Inc.,Healthcare,NASDAQ,CAD,155.43,158.85,153.76,157.86,7859524,BUY,588.15,270,41620.5,156.81,159.45,26.85,TRD1020,Goldman Sachs,41.62,41578.88,1,1,2021
TRD-100429,19-01-2021,BAC,Bank of America,Financial,LSE,GBP,38.85,38.89,37.77,37.95,1486083,SELL,38.01,242,9198.42,38.59,36.86,49.08,TRD1056,JP Morgan,9.2,9189.22,1,1,2021
TRD-100438,20-01-2021,AAPL,Apple Inc.,Technology,LSE,USD,136.92,140.22,136.06,140.06,91847,BUY,136.13,94,44378.38,138.67,138.28,35.22,TRD1055,Morgan Stanley,44.38,44334,1,1,2021
TRD-132321,20-01-2021,META,Meta Platforms,Technology,TSX,USD,521.57,536.98,521.49,534.53,9739686,SELL,528.52,298,157498.96,526.97,138.28,33.09,TRD1037,Morgan Stanley,157.5,157341.46,1,1,2021
TRD-100471,20-01-2021,PFE,Pfizer Inc.,Healthcare,NASDAQ,USD,40.97,41.2,40.58,40.61,605447,SELL,40.71,270,10991.7,41.09,41.16,52.84,TRD1040,Schwab,10.99,10980.71,1,1,2021
TRD-114000,20-01-2021,GOOGL,Alphabet Inc.,Technology,NYSE,GBP,99.38,99.52,98.16,99.31,590173,SELL,99.36,109,10830.24,100.54,99.34,36.23,TRD1021,Schwab,10.83,10819.41,1,1,2021
